,From,To,TEU
456,ELT,JPN,411774
457,ELT,LKA,13048
458,ELT,HKG,191094
459,ELT,CHN,2267601
460,ELT,SGP,51896
461,ELT,MYS,190206
462,ELT,KOR,330643
463,ELT,IND,226749
464,ELT,OAS,116265
465,ELT,PAK,36074
466,ELT,IDN,273561
467,ELT,PHL,121707
468,ELT,BGD,105632
469,ELT,THA,210930
470,ELT,VNM,258509
471,ELT,KHM,3918
472,ELT,MMR,4350
473,ELT,AFR,398748
474,ELT,EUR,5397921
475,ELT,ELT,0
476,ELT,WLT,0
477,ELT,MDE,1455001
478,ELT,NAM,6421863
479,ELT,OCE,0
480,WLT,JPN,965069
481,WLT,LKA,3331
482,WLT,HKG,110806
483,WLT,CHN,2653189
484,WLT,SGP,17793
485,WLT,MYS,22167
486,WLT,KOR,607430
487,WLT,IND,204529
488,WLT,OAS,260981
489,WLT,PAK,9316
490,WLT,IDN,55672
491,WLT,PHL,18589
492,WLT,BGD,1012
493,WLT,THA,74531
494,WLT,VNM,189899
495,WLT,KHM,4
496,WLT,MMR,496
497,WLT,AFR,0
498,WLT,EUR,47559
499,WLT,ELT,0
500,WLT,WLT,0
501,WLT,MDE,0
502,WLT,NAM,430375
503,WLT,OCE,195487
504,MDE,JPN,188234
505,MDE,LKA,51421
506,MDE,HKG,141195
507,MDE,CHN,1400771
508,MDE,SGP,628225
509,MDE,MYS,214446
510,MDE,KOR,187975
511,MDE,IND,1173694
512,MDE,OAS,252678
513,MDE,PAK,232830
514,MDE,IDN,109351
515,MDE,PHL,33241
516,MDE,BGD,189111
517,MDE,THA,168425
518,MDE,VNM,176526
519,MDE,KHM,1342
520,MDE,MMR,15525
521,MDE,AFR,1105016
522,MDE,EUR,6099279
523,MDE,ELT,305666
524,MDE,WLT,0
525,MDE,MDE,0
526,MDE,NAM,1522761
527,MDE,OCE,0
528,NAM,JPN,1017495
529,NAM,LKA,15695
530,NAM,HKG,393433
531,NAM,CHN,2198578
532,NAM,SGP,145682
533,NAM,MYS,87851
534,NAM,KOR,600803
535,NAM,IND,211264
536,NAM,OAS,277264
537,NAM,PAK,27697
538,NAM,IDN,172839
539,NAM,PHL,129883
540,NAM,BGD,38372
541,NAM,THA,126933
542,NAM,VNM,159202
543,NAM,KHM,3018
544,NAM,MMR,1098
545,NAM,AFR,221706
546,NAM,EUR,2593014
547,NAM,ELT,3423977
548,NAM,WLT,42460
549,NAM,MDE,755678
550,NAM,NAM,0
551,NAM,OCE,9860
552,OCE,JPN,691833
553,OCE,LKA,32775
554,OCE,HKG,267294
555,OCE,CHN,3038279
556,OCE,SGP,403471
557,OCE,MYS,299461
558,OCE,KOR,547061
559,OCE,IND,249059
560,OCE,OAS,218305
561,OCE,PAK,43470
562,OCE,IDN,402706
563,OCE,PHL,132561
564,OCE,BGD,69915
565,OCE,THA,272892
566,OCE,VNM,268819
567,OCE,KHM,4218
568,OCE,MMR,11341
569,OCE,AFR,0
570,OCE,EUR,90466
571,OCE,ELT,175
572,OCE,WLT,43417
573,OCE,MDE,74
574,OCE,NAM,44454
575,OCE,OCE,0
